,COICOP,measure,weights,date,cpi,food_subcategory,sheet
0,00,GENERAL INDEX (CPI),10000.000000000005,2009-02-01,79.838043201999,False,All Rwanda
1,01,Food and non-alcoholic beverages,3903.5428337111343,2009-02-01,74.83668609147115,False,All Rwanda
2,01.1.1,Bread and cereals ,662.2591994582781,2009-02-01,92.05874378895966,True,All Rwanda
3,01.1.2,Meat,173.7715732678241,2009-02-01,85.6388693471155,True,All Rwanda
4,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-02-01,62.84442555352568,True,All Rwanda
5,01.1.7,Vegetables ,1842.8570486570281,2009-02-01,66.32672394439794,True,All Rwanda
6,01.2,Non-alcoholic beverages ,114.62930950425736,2009-02-01,91.74039222003555,True,All Rwanda
7,02,Alcoholic beverages and tobacco,680.8440217778525,2009-02-01,87.38047412181864,False,All Rwanda
8,03,Clothing and footwear,530.9944773078367,2009-02-01,83.50979341979308,False,All Rwanda
9,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-02-01,90.3522508928491,False,All Rwanda
10,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-02-01,94.19402731681835,False,All Rwanda
11,06,Health,121.09522911844475,2009-02-01,85.51096142058383,False,All Rwanda
12,07,Transport,772.5927231856721,2009-02-01,83.03137930858033,False,All Rwanda
13,08,Communication,238.1321768462081,2009-02-01,111.39903137372717,False,All Rwanda
14,09,Recreation and culture,218.13981330048003,2009-02-01,94.85407608052869,False,All Rwanda
15,10,Education,200.9885867838568,2009-02-01,61.1584032904033,False,All Rwanda
16,11,Restaurants and hotels,643.9875038495742,2009-02-01,83.8307099882881,False,All Rwanda
17,12,Miscellaneous goods and services,515.9834508284413,2009-02-01,88.24534059192264,False,All Rwanda
18,00,GENERAL INDEX (CPI),10000.000000000005,2009-03-01,81.85671552853542,False,All Rwanda
19,01,Food and non-alcoholic beverages,3903.5428337111343,2009-03-01,77.90264756226848,False,All Rwanda
20,01.1.1,Bread and cereals ,662.2591994582781,2009-03-01,90.74942108030949,True,All Rwanda
21,01.1.2,Meat,173.7715732678241,2009-03-01,85.27623780294871,True,All Rwanda
22,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-03-01,66.98842251963997,True,All Rwanda
23,01.1.7,Vegetables ,1842.8570486570281,2009-03-01,73.00584787517083,True,All Rwanda
24,01.2,Non-alcoholic beverages ,114.62930950425736,2009-03-01,91.59117067048001,True,All Rwanda
25,02,Alcoholic beverages and tobacco,680.8440217778525,2009-03-01,88.72895700665104,False,All Rwanda
26,03,Clothing and footwear,530.9944773078367,2009-03-01,83.2401623042982,False,All Rwanda
27,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-03-01,92.15687065271874,False,All Rwanda
28,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-03-01,93.646516077368,False,All Rwanda
29,06,Health,121.09522911844475,2009-03-01,86.03312473124267,False,All Rwanda
30,07,Transport,772.5927231856721,2009-03-01,82.57821593264033,False,All Rwanda
31,08,Communication,238.1321768462081,2009-03-01,110.84189420760588,False,All Rwanda
